TypeID,Name
977,American Pale Ale (APA)
978,Irish Red Ale
979,American Pale Ale (APA)
980,American Pale Ale (APA)
981,American Black Ale
982,Märzen / Oktoberfest
983,American Double / Imperial IPA
984,Märzen / Oktoberfest
985,American Pale Ale (APA)
986,Witbier
987,American Blonde Ale
988,American Porter
989,American Pale Ale (APA)
990,Cream Ale
991,American Pale Wheat Ale
992,Winter Warmer
993,Pumpkin Ale
994,Czech Pilsener
995,American Amber / Red Ale
996,American IPA
997,American Pale Ale (APA)
998,American IPA
999,Tripel
1000,Altbier
1001,American IPA
1002,American Pale Ale (APA)
1003,American IPA
1004,American Double / Imperial Pilsner
1005,German Pilsener
1006,American Pale Wheat Ale
1007,English India Pale Ale (IPA)
1008,American Brown Ale
1009,American Blonde Ale
1010,American Pale Ale (APA)
1011,American IPA
1012,American Blonde Ale
1013,Fruit / Vegetable Beer
1014,Munich Helles Lager
1015,American IPA
1016,Cream Ale
1017,American Pale Ale (APA)
1018,Herbed / Spiced Beer
1019,American White IPA
1020,Cider
1021,Kölsch
1022,American IPA
1023,Pumpkin Ale
1024,Märzen / Oktoberfest
1025,American IPA
1026,Kölsch
1027,American Pale Wheat Ale
1028,Kölsch
1029,American IPA
1030,American Blonde Ale
1031,Witbier
1032,American Blonde Ale
1033,American Pale Ale (APA)
1034,American Brown Ale
1035,American Brown Ale
1036,Flanders Red Ale
1037,Belgian IPA
1038,American Pale Lager
1039,American Double / Imperial IPA
1040,American IPA
1041,Märzen / Oktoberfest
1042,Cream Ale
1043,Cream Ale
1044,American IPA
1045,American Double / Imperial Stout
1046,American Pilsner
1047,American Pale Ale (APA)
1048,American Pale Wheat Ale
1049,Fruit / Vegetable Beer
1050,American Amber / Red Ale
1051,American Pale Ale (APA)
1052,Czech Pilsener
1053,American Blonde Ale
1054,American Amber / Red Ale
1055,Saison / Farmhouse Ale
1056,American White IPA
1057,Saison / Farmhouse Ale
1058,American Brown Ale
1059,American IPA
1060,American Blonde Ale
1061,American Strong Ale
1062,American IPA
1063,American Blonde Ale
1064,American Pale Lager
1065,American IPA
1066,American IPA
1067,American Blonde Ale
1068,American IPA
1069,American Pale Lager
1070,Altbier
1071,American Pale Ale (APA)
1072,American Porter
1073,Cider
1074,Radler
1075,American Pale Wheat Ale
1076,American Pale Wheat Ale
1077,American Pale Wheat Ale
1078,American Pale Wheat Ale
1079,American Pale Wheat Ale
1080,American Pale Wheat Ale
1081,American Pale Wheat Ale
1082,American Pale Wheat Ale
1083,American Pale Wheat Ale
1084,American Pale Wheat Ale
1085,American Pale Wheat Ale
1086,American Pale Wheat Ale
1087,American Amber / Red Ale
1088,American Stout
1089,American IPA
1090,American Strong Ale
1091,American White IPA
1092,American Amber / Red Ale
1093,American Strong Ale
1094,Czech Pilsener
1095,American IPA
1096,American Pale Wheat Ale
1097,Hefeweizen
1098,Märzen / Oktoberfest
1099,American Pale Ale (APA)
1100,Vienna Lager
1101,American IPA
1102,Winter Warmer
1103,Fruit / Vegetable Beer
1104,American Pale Wheat Ale
1105,American Black Ale
1106,American Pale Ale (APA)
1107,American Amber / Red Ale
1108,American Pale Ale (APA)
1109,Witbier
1110,American Pale Ale (APA)
1111,American IPA
1112,Cream Ale
1113,American Blonde Ale
1114,American IPA
1115,American Pale Ale (APA)
1116,American Blonde Ale
1117,American IPA
1118,Keller Bier / Zwickel Bier
1119,American Pale Lager
1120,American India Pale Lager
1121,American India Pale Lager
1122,American India Pale Lager
1123,Cider
1124,Cider
1125,American Pale Ale (APA)
1126,Fruit / Vegetable Beer
1127,American IPA
1128,American IPA
1129,American Amber / Red Ale
1130,English Brown Ale
1131,American IPA
1132,American Strong Ale
1133,Hefeweizen
1134,American Porter
1135,American Pale Ale (APA)
1136,American Blonde Ale
1137,American IPA
1138,Hefeweizen
1139,American Pale Ale (APA)
1140,American Double / Imperial IPA
1141,American Adjunct Lager
1142,American IPA
1143,Doppelbock
1144,Hefeweizen
1145,Munich Dunkel Lager
1146,American Pale Ale (APA)
1147,Märzen / Oktoberfest
1148,Kölsch
1149,Saison / Farmhouse Ale
1150,American Double / Imperial IPA
1151,American Amber / Red Lager
1152,Hefeweizen
1153,American IPA
1154,Euro Dark Lager
1155,American IPA
1156,Czech Pilsener
1157,Scottish Ale
1158,American Blonde Ale
1159,American IPA
1160,Scottish Ale
1161,Scotch Ale / Wee Heavy
1162,American IPA
1163,American IPA
1164,American Pale Ale (APA)
1165,American IPA
1166,Scotch Ale / Wee Heavy
1167,Witbier
1168,American Pale Ale (APA)
1169,Scottish Ale
1170,American Brown Ale
1171,American Brown Ale
1172,American Blonde Ale
1173,American Amber / Red Ale
1174,American Amber / Red Ale
1175,Czech Pilsener
1176,American IPA
1177,Hefeweizen
1178,American Blonde Ale
1179,American IPA
1180,American Pale Wheat Ale
1181,American Amber / Red Lager
1182,American Amber / Red Lager
1183,American Amber / Red Lager
1184,American Amber / Red Lager
1185,American Dark Wheat Ale
1186,Belgian Strong Dark Ale
1187,Hefeweizen
1188,American IPA
1189,Maibock / Helles Bock
1190,Kölsch
1191,Hefeweizen
1192,American IPA
1193,American Amber / Red Ale
1194,English Brown Ale
1195,Cream Ale
1196,American Pilsner
1197,American IPA
1198,American IPA
1199,American IPA
1200,Czech Pilsener
1201,Kölsch
1202,American IPA
1203,American Amber / Red Ale
1204,Hefeweizen
1205,Scottish Ale
1206,German Pilsener
1207,Saison / Farmhouse Ale
1208,American Stout
1209,American Amber / Red Ale
1210,Fruit / Vegetable Beer
1211,American IPA
1212,American Pale Ale (APA)
1213,American Porter
1214,American Stout
1215,American Pale Ale (APA)
1216,Hefeweizen
1217,American Brown Ale
1218,English India Pale Ale (IPA)
1219,American Amber / Red Ale
1220,Altbier
1221,Fruit / Vegetable Beer
1222,Altbier
1223,Gose
1224,German Pilsener
1225,American IPA
1226,American IPA
1227,American IPA
1228,Czech Pilsener
1229,American Stout
1230,Hefeweizen
1231,American Pale Ale (APA)
1232,American Blonde Ale
1233,English Dark Mild Ale
1234,Belgian Pale Ale
1235,American Pale Ale (APA)
1236,American Pilsner
1237,American IPA
1238,American Amber / Red Ale
1239,American Pale Ale (APA)
1240,American Amber / Red Ale
1241,American Pale Ale (APA)
1242,American Brown Ale
1243,American Double / Imperial IPA
1244,American Blonde Ale
1245,Winter Warmer
1246,Fruit / Vegetable Beer
1247,Kölsch
1248,American Pale Ale (APA)
1249,American IPA
1250,American Brown Ale
1251,American Amber / Red Ale
1252,Fruit / Vegetable Beer
1253,Hefeweizen
1254,Fruit / Vegetable Beer
1255,German Pilsener
1256,American IPA
1257,German Pilsener
1258,American Amber / Red Ale
1259,Winter Warmer
1260,Märzen / Oktoberfest
1261,Belgian Pale Ale
1262,American IPA
1263,Pumpkin Ale
1264,American Pale Wheat Ale
1265,Tripel
1266,Fruit / Vegetable Beer
1267,American Double / Imperial IPA
1268,American Double / Imperial IPA
1269,American IPA
